Distance,S,SW,W,NW,N,NE,E,SE,Car_Dir,Fire_Dir_X,Fire_Dir_Y,Output
147.8431,1,1,1,1,1,1,1,1,0.9896967,-38.23777,-142.8127,UpArrow
147.8431,1,1,1,1,1,1,1,1,0.9896967,-38.23777,-142.8127,UpArrow
147.7069,1,1,1,1,1,1,1,1,0.9896967,-38.19917,-142.682,UpArrow
147.5135,1,1,1,1,1,1,1,1,0.9896967,-38.14434,-142.4965,UpArrow
147.5135,1,1,1,1,1,1,1,1,0.9896967,-38.14434,-142.4965,UpArrow
147.372,1,1,1,1,1,1,1,1,0.9896967,-38.1042,-142.3607,UpArrow
147.372,1,1,1,1,1,1,1,1,0.9896967,-38.1042,-142.3607,UpArrow
147.244,1,1,1,1,1,1,1,1,0.9896967,-38.06794,-142.238,UpArrow
147.244,1,1,1,1,1,1,1,1,0.9896967,-38.06794,-142.238,UpArrow
147.0729,1,1,1,1,1,1,1,1,0.9896967,-38.01941,-142.0738,UpArrow
146.9412,1,1,1,1,1,1,1,1,0.9896967,-37.98209,-141.9475,UpArrow
146.9412,1,1,1,1,1,1,1,1,0.9896967,-37.98209,-141.9475,UpArrow
146.7981,1,1,1,1,1,1,1,1,0.9896967,-37.94152,-141.8102,UpArrow
146.7981,1,1,1,1,1,1,1,1,0.9896967,-37.94152,-141.8102,UpArrow
146.6563,1,1,1,1,1,1,1,1,0.9896967,-37.90131,-141.6742,UpArrow
146.6563,1,1,1,1,1,1,1,1,0.9896967,-37.90131,-141.6742,UpArrow
146.5258,1,1,1,1,1,1,1,1,0.9896967,-37.8643,-141.5489,UpArrow
146.5258,1,1,1,1,1,1,1,1,0.9896967,-37.8643,-141.5489,UpArrow
146.5258,1,1,1,1,1,1,1,1,0.9896967,-37.8643,-141.5489,UpArrow
146.3871,1,1,1,1,1,1,1,1,0.9896967,-37.825,-141.4159,UpArrow
146.3871,1,1,1,1,1,1,1,1,0.9896967,-37.825,-141.4159,UpArrow
146.2458,1,1,1,1,1,1,1,1,0.9896967,-37.78493,-141.2803,UpArrow
145.9611,1,1,1,1,1,1,1,1,0.9896967,-37.70422,-141.0072,UpArrow
145.4684,1,1,1,1,1,1,1,1,0.9896967,-37.56454,-140.5345,UpArrow
145.4684,1,1,1,1,1,1,1,1,0.9896967,-37.56454,-140.5345,UpArrow
145.4684,1,1,1,1,1,1,1,1,0.9896967,-37.56454,-140.5345,UpArrow
145.3335,1,1,1,1,1,1,1,1,0.9896967,-37.5263,-140.4052,UpArrow
145.3335,1,1,1,1,1,1,1,1,0.9896967,-37.5263,-140.4052,UpArrow
145.198,1,1,1,1,1,1,1,1,0.9896967,-37.48787,-140.2751,UpArrow
145.198,1,1,1,1,1,1,1,1,0.9896967,-37.48787,-140.2751,UpArrow
145.053,1,1,1,1,1,1,1,1,0.9896967,-37.44676,-140.136,UpArrow
145.053,1,1,1,1,1,1,1,1,0.9896967,-37.44676,-140.136,UpArrow
144.9145,1,1,1,1,1,1,1,1,0.9896967,-37.40749,-140.0031,UpArrow
144.6003,1,1,1,1,1,1,1,1,0.9896967,-37.31842,-139.7018,UpArrow
144.383,1,1,1,1,1,1,1,1,0.9896967,-37.25682,-139.4933,UpArrow
144.0257,1,1,1,1,1,1,1,1,0.9896967,-37.15551,-139.1505,UpArrow
143.7301,1,1,1,1,1,1,1,1,0.9896967,-37.07173,-138.867,UpArrow
143.7301,1,1,1,1,1,1,1,1,0.9896967,-37.07173,-138.867,UpArrow
143.5226,1,1,1,1,1,1,1,1,0.9896967,-37.01289,-138.6679,UpArrow
143.3428,1,1,1,1,1,1,1,1,0.9896967,-36.96193,-138.4955,UpArrow
143.0346,1,1,1,1,1,1,1,1,0.9896967,-36.87452,-138.1997,UpArrow
143.0346,1,1,1,1,1,1,1,1,0.9896967,-36.87452,-138.1997,UpArrow
142.8663,1,1,1,1,1,1,1,1,0.9896967,-36.8268,-138.0382,UpArrow
142.7033,1,1,1,1,1,1,1,1,0.9896967,-36.78061,-137.8819,UpArrow
142.3822,1,1,1,1,1,1,1,1,0.9896967,-36.68956,-137.5739,UpArrow
142.3822,1,1,1,1,1,1,1,1,0.9896967,-36.68956,-137.5739,UpArrow
142.2162,1,1,1,1,1,1,1,1,0.9896967,-36.64249,-137.4146,UpArrow
142.2162,1,1,1,1,1,1,1,1,0.9896967,-36.64249,-137.4146,UpArrow
142.2162,1,1,1,1,1,1,1,1,0.9896967,-36.64249,-137.4146,UpArrow
142.0789,1,1,1,1,1,1,1,1,0.9896967,-36.60358,-137.2829,UpArrow
141.8136,1,1,1,1,1,1,1,1,0.9896967,-36.52835,-137.0284,UpArrow
141.8136,1,1,1,1,1,1,1,1,0.9896967,-36.52835,-137.0284,UpArrow
141.674,1,1,1,1,1,1,1,1,0.9896967,-36.48877,-136.8944,UpArrow
141.674,1,1,1,1,1,1,1,1,0.9896967,-36.48877,-136.8944,UpArrow
141.5378,1,1,1,1,1,1,1,1,0.9896967,-36.45017,-136.7638,UpArrow
141.5378,1,1,1,1,1,1,1,1,0.9896967,-36.45017,-136.7638,UpArrow
141.3642,1,1,1,1,1,1,1,1,0.9896967,-36.40092,-136.5972,UpArrow
141.3642,1,1,1,1,1,1,1,1,0.9896967,-36.40092,-136.5972,UpArrow
141.2242,1,1,1,1,1,1,1,1,0.9896967,-36.36126,-136.463,UpArrow
141.2242,1,1,1,1,1,1,1,1,0.9896967,-36.36126,-136.463,UpArrow
141.047,1,1,1,1,1,1,1,1,0.9896967,-36.31102,-136.293,UpArrow
140.8492,1,1,1,1,1,1,1,1,0.9896967,-36.25494,-136.1032,UpArrow
140.8492,1,1,1,1,1,1,1,1,0.9896967,-36.25494,-136.1032,UpArrow
140.661,1,1,1,1,1,1,1,1,0.9896967,-36.20157,-135.9226,UpArrow
140.5238,1,1,1,1,1,1,1,1,0.9896967,-36.16267,-135.791,UpArrow
140.09,1,1,1,1,1,1,1,1,0.9896967,-36.03969,-135.3748,UpArrow
140.09,1,1,1,1,1,1,1,1,0.9896967,-36.03969,-135.3748,UpArrow
139.86,1,1,1,1,1,1,1,1,0.9896967,-35.97448,-135.1542,UpArrow
139.4518,1,1,1,1,1,1,1,1,0.9896967,-35.85876,-134.7626,UpArrow
139.0755,1,1,1,1,1,1,1,1,0.9896967,-35.75206,-134.4016,UpArrow
139.0755,1,1,1,1,1,1,1,1,0.9896967,-35.75206,-134.4016,UpArrow
138.9366,1,1,1,1,1,1,1,1,0.9896967,-35.71267,-134.2683,UpArrow
138.9366,1,1,1,1,1,1,1,1,0.9896967,-35.71267,-134.2683,UpArrow
138.7865,1,1,1,1,1,1,1,1,0.9896967,-35.67013,-134.1243,UpArrow
138.6043,1,1,1,1,1,1,1,1,0.9896967,-35.61847,-133.9495,UpArrow
138.6043,1,1,1,1,1,1,1,1,0.9896967,-35.61847,-133.9495,UpArrow
138.4458,1,1,1,1,1,1,1,1,0.9896967,-35.57353,-133.7975,UpArrow
138.264,1,1,1,1,1,1,1,1,0.9896967,-35.522,-133.6231,UpArrow
137.5468,1,1,1,1,1,1,1,1,0.9896967,-35.31866,-132.935,UpArrow
137.5468,1,1,1,1,1,1,1,1,0.9896967,-35.31866,-132.935,UpArrow
137.4025,1,1,1,1,1,1,1,1,0.9896967,-35.27776,-132.7966,UpArrow
137.4025,1,1,1,1,1,1,1,1,0.9896967,-35.27776,-132.7966,UpArrow
137.4025,1,1,1,1,1,1,1,1,0.9896967,-35.27776,-132.7966,UpArrow
137.2749,1,1,1,1,1,1,1,1,0.9896967,-35.24158,-132.6742,UpArrow
137.2749,1,1,1,1,1,1,1,1,0.9896967,-35.24158,-132.6742,UpArrow
137.1316,1,1,1,1,1,1,1,1,0.9896967,-35.20094,-132.5367,UpArrow
137.1316,1,1,1,1,1,1,1,1,0.9896967,-35.20094,-132.5367,UpArrow
136.9909,1,1,1,1,1,1,1,1,0.9896967,-35.16105,-132.4017,UpArrow
136.9909,1,1,1,1,1,1,1,1,0.9896967,-35.16105,-132.4017,UpArrow
136.8444,1,1,1,1,1,1,1,1,0.9896967,-35.11951,-132.2611,UpArrow
136.6087,1,1,1,1,1,1,1,1,0.9896967,-35.05268,-132.035,UpArrow
136.2977,1,1,1,1,1,1,1,1,0.9896967,-34.96452,-131.7367,UpArrow
136.2977,1,1,1,1,1,1,1,1,0.9896967,-34.96452,-131.7367,UpArrow
136.1525,1,1,1,1,1,1,1,1,0.9896967,-34.92335,-131.5974,UpArrow
135.9818,1,1,1,1,1,1,1,1,0.9896967,-34.87494,-131.4336,UpArrow
135.9818,1,1,1,1,1,1,1,1,0.9896967,-34.87494,-131.4336,UpArrow
135.7891,1,1,1,1,1,1,1,1,0.9896967,-34.82032,-131.2487,UpArrow
135.7891,1,1,1,1,1,1,1,1,0.9896967,-34.82032,-131.2487,UpArrow
135.5839,1,1,1,1,1,1,1,1,0.9896967,-34.76213,-131.0518,UpArrow
135.5839,1,1,1,1,1,1,1,1,0.9896967,-34.76213,-131.0518,UpArrow
135.4153,1,1,1,1,1,1,1,1,0.9896967,-34.71435,-130.8901,UpArrow
135.4153,1,1,1,1,1,1,1,1,0.9896967,-34.71435,-130.8901,UpArrow
135.2869,1,1,1,1,1,1,1,1,0.9896967,-34.67793,-130.7669,UpArrow
135.1167,1,1,1,1,1,1,1,1,0.9896967,-34.62967,-130.6036,UpArrow
135.1167,1,1,1,1,1,1,1,1,0.9896967,-34.62967,-130.6036,UpArrow
134.9857,1,1,1,1,1,1,1,1,0.9896967,-34.59254,-130.478,UpArrow
134.9857,1,1,1,1,1,1,1,1,0.9896967,-34.59254,-130.478,UpArrow
134.8178,1,1,1,1,1,1,1,1,0.9896967,-34.54493,-130.3169,UpArrow
134.8178,1,1,1,1,1,1,1,1,0.9896967,-34.54493,-130.3169,UpArrow
134.5781,1,1,1,1,1,1,1,1,0.9896967,-34.47696,-130.0869,UpArrow
134.5781,1,1,1,1,1,1,1,1,0.9896967,-34.47696,-130.0869,UpArrow
134.4298,1,1,1,1,1,1,1,1,0.9896967,-34.43491,-129.9446,UpArrow
134.295,1,1,1,1,1,1,1,1,0.9896967,-34.39671,-129.8153,UpArrow
134.295,1,1,1,1,1,1,1,1,0.9896967,-34.39671,-129.8153,UpArrow
134.1474,1,1,1,1,1,1,1,1,0.9896967,-34.35486,-129.6737,UpArrow
134.1474,1,1,1,1,1,1,1,1,0.9896967,-34.35486,-129.6737,UpArrow
133.9695,1,1,1,1,1,1,1,1,0.9896967,-34.30441,-129.503,UpArrow
133.9695,1,1,1,1,1,1,1,1,0.9896967,-34.30441,-129.503,UpArrow
133.8229,1,1,1,1,1,1,1,1,0.9896967,-34.26286,-129.3624,UpArrow
133.8229,1,1,1,1,1,1,1,1,0.9896967,-34.26286,-129.3624,UpArrow
133.6714,1,1,1,1,1,1,1,1,0.9896967,-34.21989,-129.217,UpArrow
133.6714,1,1,1,1,1,1,1,1,0.9896967,-34.21989,-129.217,UpArrow
133.4925,1,1,1,1,1,1,1,1,0.9896967,-34.16917,-129.0454,UpArrow
133.4925,1,1,1,1,1,1,1,1,0.9896967,-34.16917,-129.0454,UpArrow
133.3518,1,1,1,1,1,1,1,1,0.9896967,-34.12929,-128.9104,UpArrow
133.3518,1,1,1,1,1,1,1,1,0.9896967,-34.12929,-128.9104,UpArrow
133.1861,1,1,1,1,1,1,1,1,0.9896967,-34.08231,-128.7514,UpArrow
133.1861,1,1,1,1,1,1,1,1,0.9896967,-34.08231,-128.7514,UpArrow
133.0453,1,1,1,1,1,1,1,1,0.9896967,-34.04238,-128.6163,UpArrow
133.0453,1,1,1,1,1,1,1,1,0.9896967,-34.04238,-128.6163,UpArrow
132.8678,1,1,1,1,1,1,1,1,0.9896967,-33.99205,-128.446,UpArrow
132.8678,1,1,1,1,1,1,1,1,0.9896967,-33.99205,-128.446,UpArrow
132.7243,1,1,1,1,1,1,1,1,0.9896967,-33.95137,-128.3084,UpArrow
132.7243,1,1,1,1,1,1,1,1,0.9896967,-33.95137,-128.3084,UpArrow
132.5392,1,1,1,1,1,1,1,1,0.9896967,-33.89888,-128.1308,UpArrow
132.5392,1,1,1,1,1,1,1,1,0.9896967,-33.89888,-128.1308,UpArrow
132.4052,1,1,1,1,1,1,1,1,0.9896967,-33.86089,-128.0022,UpArrow
132.4052,1,1,1,1,1,1,1,1,0.9896967,-33.86089,-128.0022,UpArrow
132.2732,1,1,1,1,1,1,1,1,0.9896967,-33.82347,-127.8756,UpArrow
132.2732,1,1,1,1,1,1,1,1,0.9896967,-33.82347,-127.8756,UpArrow
132.1427,1,1,1,1,1,1,1,1,0.9896967,-33.78649,-127.7505,UpArrow
132.1427,1,1,1,1,1,1,1,1,0.9896967,-33.78649,-127.7505,UpArrow
131.9992,1,1,1,1,1,1,1,1,0.9896967,-33.74579,-127.6127,UpArrow
